# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 9.942502933074140401e+02 2.724507215217425671e+00 0.000000000000000000e+00 2.724507215217425671e+00 0.000000000000000000e+00 3.196570976409170844e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.950576806833002635e-06
3.000000000000000000e+00 9.476552087725661977e+02 3.067770149054099615e+00 0.000000000000000000e+00 3.067770149054099615e+00 0.000000000000000000e+00 4.247413650384510714e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.902033765539966200e-06
4.000000000000000000e+00 9.013002961653661487e+02 2.900512754744275057e+00 0.000000000000000000e+00 2.900512754744275057e+00 0.000000000000000000e+00 3.834522403258786710e-02 0.000000000000000000e+00 0.000000000000000000e+00 6.505322615893757592e-06
5.000000000000000000e+00 8.662078785632046447e+02 2.493071520691393150e+00 0.000000000000000000e+00 2.493071520691393150e+00 0.000000000000000000e+00 2.672370335204955760e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.761553983867480639e-06
6.000000000000000000e+00 8.422683752618595463e+02 2.026525318766339456e+00 0.000000000000000000e+00 2.026525318766339456e+00 0.000000000000000000e+00 1.548644430637295677e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.367206386334044353e-05
7.000000000000000000e+00 8.272169661872891311e+02 1.601897950959034977e+00 0.000000000000000000e+00 1.601897950959034977e+00 0.000000000000000000e+00 8.376226820194150949e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.823838152147598586e-05
8.000000000000000000e+00 8.182895942398938587e+02 1.265880950943447658e+00 0.000000000000000000e+00 1.265880950943447658e+00 0.000000000000000000e+00 5.174003278057294139e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.346219358162256744e-05
9.000000000000000000e+00 8.151440553276493119e+02 1.032819053627846984e+00 0.000000000000000000e+00 1.032819053627846984e+00 0.000000000000000000e+00 4.047187699321750515e-03 0.000000000000000000e+00 0.000000000000000000e+00 2.934530561286525653e-05
1.000000000000000000e+01 8.151093287467672326e+02 8.947094160204952518e-01 0.000000000000000000e+00 8.947094160204952518e-01 0.000000000000000000e+00 3.503245877802038406e-03 0.000000000000000000e+00 0.000000000000000000e+00 3.588960250079782329e-05
1.100000000000000000e+01 8.175560232584783762e+02 8.356629985296312180e-01 0.000000000000000000e+00 8.356629985296312180e-01 0.000000000000000000e+00 2.995894453330939875e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.309700896830063441e-05
1.200000000000000000e+01 8.230372976642188405e+02 8.344102352992017746e-01 0.000000000000000000e+00 8.344102352992017746e-01 0.000000000000000000e+00 2.585709552613275723e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.096945161462126191e-05
1.300000000000000000e+01 8.300961486776647007e+02 8.691959837580081061e-01 0.000000000000000000e+00 8.691959837580081061e-01 0.000000000000000000e+00 2.413732215947538094e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.950882371833817456e-05
1.400000000000000000e+01 8.380154955334954821e+02 9.226642855382612973e-01 0.000000000000000000e+00 9.226642855382612973e-01 0.000000000000000000e+00 2.470042968582134187e-03 0.000000000000000000e+00 0.000000000000000000e+00 6.871695393896071235e-05
1.500000000000000000e+01 8.469600962607891006e+02 9.836645678695834505e-01 0.000000000000000000e+00 9.836645678695834505e-01 0.000000000000000000e+00 2.654069965163907349e-03 0.000000000000000000e+00 0.000000000000000000e+00 7.859557989538473819e-05
1.600000000000000000e+01 8.571648188880169528e+02 1.046580122264854751e+00 0.000000000000000000e+00 1.046580122264854751e+00 0.000000000000000000e+00 2.904555611121989889e-03 0.000000000000000000e+00 0.000000000000000000e+00 8.914632736791319007e-05
1.700000000000000000e+01 8.685169523731373147e+02 1.109214041273333784e+00 0.000000000000000000e+00 1.109214041273333784e+00 0.000000000000000000e+00 3.240922508746571160e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.003706956793316087e-04
1.800000000000000000e+01 8.800483248424401381e+02 1.171233711860413473e+00 0.000000000000000000e+00 1.171233711860413473e+00 0.000000000000000000e+00 3.716286180969757477e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.122700495077021718e-04
1.900000000000000000e+01 8.930291370486523874e+02 1.236433214233070954e+00 0.000000000000000000e+00 1.236433214233070954e+00 0.000000000000000000e+00 4.363093829953548775e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.248456171562897245e-04
2.000000000000000000e+01 9.060853466105435245e+02 1.303035917443013059e+00 0.000000000000000000e+00 1.303035917443013059e+00 0.000000000000000000e+00 5.174668371940424096e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.380984951383516432e-04
2.100000000000000000e+01 9.195405786691278536e+02 1.373054063933947910e+00 0.000000000000000000e+00 1.373054063933947910e+00 0.000000000000000000e+00 6.136488196458545451e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.520296582451175155e-04
2.200000000000000000e+01 9.333836314795091766e+02 1.446242104536928474e+00 0.000000000000000000e+00 1.446242104536928474e+00 0.000000000000000000e+00 7.242416385245496746e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.666399750409632810e-04
2.300000000000000000e+01 9.475495339705050810e+02 1.521789424109699640e+00 0.000000000000000000e+00 1.521789424109699640e+00 0.000000000000000000e+00 8.493614720682234401e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.819302269721585037e-04
2.400000000000000000e+01 9.620596735783223039e+02 1.596730417109174738e+00 0.000000000000000000e+00 1.596730417109174738e+00 0.000000000000000000e+00 9.888833199037081606e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.979011309014965664e-04
2.500000000000000000e+01 9.768964706387563410e+02 1.666974079939047781e+00 0.000000000000000000e+00 1.666974079939047781e+00 0.000000000000000000e+00 1.142670723158514985e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.145533633010155772e-04
2.600000000000000000e+01 9.919837538103940915e+02 1.731377216100322025e+00 0.000000000000000000e+00 1.731377216100322025e+00 0.000000000000000000e+00 1.310604352674392750e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.318875847913055605e-04
2.700000000000000000e+01 1.007390455437297078e+03 1.787402254924577827e+00 0.000000000000000000e+00 1.787402254924577827e+00 0.000000000000000000e+00 1.493278605294917280e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.499044646324269999e-04
2.800000000000000000e+01 1.023059095356748458e+03 1.834566929811989988e+00 0.000000000000000000e+00 1.834566929811989988e+00 0.000000000000000000e+00 1.692318303703254159e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.686047025082468655e-04
2.900000000000000000e+01 1.039008479957933105e+03 1.873949617223434005e+00 0.000000000000000000e+00 1.873949617223434005e+00 0.000000000000000000e+00 1.909555604603997009e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.879890477767368820e-04
3.000000000000000000e+01 1.055235468905058042e+03 1.905906321725762576e+00 0.000000000000000000e+00 1.905906321725762576e+00 0.000000000000000000e+00 2.146289734235572871e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.080583142044284232e-04
3.100000000000000000e+01 1.071553140876218094e+03 1.931124112253428393e+00 0.000000000000000000e+00 1.931124112253428393e+00 0.000000000000000000e+00 2.403529531270703207e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.288133904456032688e-04
3.200000000000000000e+01 1.088123324311522993e+03 1.950055558245359588e+00 0.000000000000000000e+00 1.950055558245359588e+00 0.000000000000000000e+00 2.682132700824830379e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.502552438051379706e-04
3.300000000000000000e+01 1.104932741175967067e+03 1.962352416635816166e+00 0.000000000000000000e+00 1.962352416635816166e+00 0.000000000000000000e+00 2.982411323504617282e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.723849192426510919e-04
3.400000000000000000e+01 1.121938014798794484e+03 1.966996810898275161e+00 0.000000000000000000e+00 1.966996810898275161e+00 0.000000000000000000e+00 3.305148777253408277e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.952035320687580884e-04
3.500000000000000000e+01 1.139154962710540531e+03 1.964077773425931817e+00 0.000000000000000000e+00 1.964077773425931817e+00 0.000000000000000000e+00 3.651047574949022045e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.187122537416555204e-04
3.600000000000000000e+01 1.156519412675831745e+03 1.953126466465793687e+00 0.000000000000000000e+00 1.953126466465793687e+00 0.000000000000000000e+00 4.019975645883864385e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.429122935238839678e-04
3.700000000000000000e+01 1.173999268169272000e+03 1.932740300633198682e+00 0.000000000000000000e+00 1.932740300633198682e+00 0.000000000000000000e+00 4.412054545697027125e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.678048744115552568e-04
3.800000000000000000e+01 1.191709189322045177e+03 1.901333326113867184e+00 0.000000000000000000e+00 1.901333326113867184e+00 0.000000000000000000e+00 4.827882733591548625e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.933912052117186368e-04
3.900000000000000000e+01 1.209649347435170512e+03 1.858403050272424029e+00 0.000000000000000000e+00 1.858403050272424029e+00 0.000000000000000000e+00 5.268376648111521010e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.196724499851363864e-04
4.000000000000000000e+01 1.227786563141610714e+03 1.803741017221101028e+00 0.000000000000000000e+00 1.803741017221101028e+00 0.000000000000000000e+00 5.734527115775195361e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.466496949955575949e-04
