# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
2.000000000000000000e+00 1.199073751709087219e+03 6.287017288667721360e+00 0.000000000000000000e+00 6.287017288667721360e+00 0.000000000000000000e+00 1.459209384737658377e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.364766427880218957e-01
3.000000000000000000e+00 1.108286898256838640e+03 6.096915364517375480e+00 0.000000000000000000e+00 6.096915364517375480e+00 0.000000000000000000e+00 1.256036569155961402e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.962733285743444078e-01
4.000000000000000000e+00 1.036502363365464134e+03 5.600396484656855023e+00 0.000000000000000000e+00 5.600396484656855023e+00 0.000000000000000000e+00 1.119996079954493906e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.097231875111770227e-01
5.000000000000000000e+00 9.845009347357650995e+02 4.962415238786219263e+00 0.000000000000000000e+00 4.962415238786219263e+00 0.000000000000000000e+00 1.016013638446226830e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.491245500876562380e-01
6.000000000000000000e+00 9.483347304115727638e+02 4.322195764189521228e+00 0.000000000000000000e+00 4.322195764189521228e+00 0.000000000000000000e+00 9.351979079162663355e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.034750909998111146e-01
7.000000000000000000e+00 9.239424681901715530e+02 3.760294371445756845e+00 0.000000000000000000e+00 3.760294371445756845e+00 0.000000000000000000e+00 8.730918044718980475e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.673945357286560576e-01
8.000000000000000000e+00 9.075957062595630305e+02 3.312018885496384346e+00 0.000000000000000000e+00 3.312018885496384346e+00 0.000000000000000000e+00 8.249156404333939374e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.378904579096898120e-01
9.000000000000000000e+00 8.983833769516095344e+02 2.984794758374825996e+00 0.000000000000000000e+00 2.984794758374825996e+00 0.000000000000000000e+00 7.860647667397658855e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.131439919956020113e-01
1.000000000000000000e+01 8.932749959280779422e+02 2.766132036332126898e+00 0.000000000000000000e+00 2.766132036332126898e+00 0.000000000000000000e+00 7.532489839798589548e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.919756160083798568e-01
1.100000000000000000e+01 8.914017568924236912e+02 2.637084124850994193e+00 0.000000000000000000e+00 2.637084124850994193e+00 0.000000000000000000e+00 7.246970646369241820e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.735815944140656097e-01
1.200000000000000000e+01 8.931505394258593924e+02 2.574213893146553023e+00 0.000000000000000000e+00 2.574213893146553023e+00 0.000000000000000000e+00 6.996011961878464414e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.573921427675238238e-01
1.300000000000000000e+01 8.969449105305330932e+02 2.554180507619574492e+00 0.000000000000000000e+00 2.554180507619574492e+00 0.000000000000000000e+00 6.774671463887182998e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.429904334010661415e-01
1.400000000000000000e+01 9.019795156863380043e+02 2.558435443789269126e+00 0.000000000000000000e+00 2.558435443789269126e+00 0.000000000000000000e+00 6.578072195917330500e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.300629790711336664e-01
1.500000000000000000e+01 9.083523286097280334e+02 2.574911674319043442e+00 0.000000000000000000e+00 2.574911674319043442e+00 0.000000000000000000e+00 6.401536859796194134e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.183688737043968486e-01
1.600000000000000000e+01 9.162466994884578071e+02 2.597275641914151389e+00 0.000000000000000000e+00 2.597275641914151389e+00 0.000000000000000000e+00 6.241580977748860670e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.077196813505091222e-01
1.700000000000000000e+01 9.255094382044323993e+02 2.622759390163213133e+00 0.000000000000000000e+00 2.622759390163213133e+00 0.000000000000000000e+00 6.096110989953853476e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.979652922428627004e-01
1.800000000000000000e+01 9.351400687493863870e+02 2.650568573621212565e+00 0.000000000000000000e+00 2.650568573621212565e+00 0.000000000000000000e+00 5.963808219236755859e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.889843324501772726e-01
1.900000000000000000e+01 9.463826747775428885e+02 2.684119444937742127e+00 0.000000000000000000e+00 2.684119444937742127e+00 0.000000000000000000e+00 5.843483452110184162e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.806774839184951520e-01
2.000000000000000000e+01 9.578418767488171852e+02 2.721323546593843901e+00 0.000000000000000000e+00 2.721323546593843901e+00 0.000000000000000000e+00 5.733820651098658905e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.729627780980446228e-01
2.100000000000000000e+01 9.698236432782238126e+02 2.763932168760755204e+00 0.000000000000000000e+00 2.763932168760755204e+00 0.000000000000000000e+00 5.633629150485053305e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.657716196108584117e-01
2.200000000000000000e+01 9.823020295746666761e+02 2.811479534010325132e+00 0.000000000000000000e+00 2.811479534010325132e+00 0.000000000000000000e+00 5.541965283546321785e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.590461180674173747e-01
2.300000000000000000e+01 9.951996420690360310e+02 2.862967615674146593e+00 0.000000000000000000e+00 2.862967615674146593e+00 0.000000000000000000e+00 5.458089843806844810e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.527370095042122733e-01
2.400000000000000000e+01 1.008527351868943470e+03 2.915270993835473945e+00 0.000000000000000000e+00 2.915270993835473945e+00 0.000000000000000000e+00 5.381350069031004546e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.468022843383778975e-01
2.500000000000000000e+01 1.022258582955645693e+03 2.964160624254881249e+00 0.000000000000000000e+00 2.964160624254881249e+00 0.000000000000000000e+00 5.311179282941552726e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.412056565930111640e-01
2.600000000000000000e+01 1.036309410424042198e+03 3.008373190604487490e+00 0.000000000000000000e+00 3.008373190604487490e+00 0.000000000000000000e+00 5.247084318153316662e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.359155511081092227e-01
2.700000000000000000e+01 1.050742061471295983e+03 3.045266522837356327e+00 0.000000000000000000e+00 3.045266522837356327e+00 0.000000000000000000e+00 5.188705559254225275e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.309044725828915734e-01
2.800000000000000000e+01 1.065493219360414741e+03 3.074266533645758859e+00 0.000000000000000000e+00 3.074266533645758859e+00 0.000000000000000000e+00 5.135837628433931323e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.261482848677637048e-01
2.900000000000000000e+01 1.080576586713028746e+03 3.096370783492329970e+00 0.000000000000000000e+00 3.096370783492329970e+00 0.000000000000000000e+00 5.088339969304641608e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.216257446635573114e-01
3.000000000000000000e+01 1.095984536923351016e+03 3.111863707548407909e+00 0.000000000000000000e+00 3.111863707548407909e+00 0.000000000000000000e+00 5.046055776974057716e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.173180393839465929e-01
3.100000000000000000e+01 1.111526181804189264e+03 3.121368637319821282e+00 0.000000000000000000e+00 3.121368637319821282e+00 0.000000000000000000e+00 5.008830584898776861e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.132084153015357586e-01
3.200000000000000000e+01 1.127359835617558247e+03 3.125281278961970166e+00 0.000000000000000000e+00 3.125281278961970166e+00 0.000000000000000000e+00 4.976522352975049079e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.092819257695684221e-01
3.300000000000000000e+01 1.143469090540093021e+03 3.123202447643648405e+00 0.000000000000000000e+00 3.123202447643648405e+00 0.000000000000000000e+00 4.948958201946619950e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.055251808044870399e-01
3.400000000000000000e+01 1.159807770215705204e+03 3.114068322907945774e+00 0.000000000000000000e+00 3.114068322907945774e+00 0.000000000000000000e+00 4.926032405053143437e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.019261042708182297e-01
3.500000000000000000e+01 1.176389187253632826e+03 3.097926705547466408e+00 0.000000000000000000e+00 3.097926705547466408e+00 0.000000000000000000e+00 4.907650027969203688e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.984738588161558459e-01
3.600000000000000000e+01 1.193146918467893329e+03 3.074271495814794086e+00 0.000000000000000000e+00 3.074271495814794086e+00 0.000000000000000000e+00 4.893648581390770413e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.951586506136505417e-01
3.700000000000000000e+01 1.210046831315890813e+03 3.041666099458555372e+00 0.000000000000000000e+00 3.041666099458555372e+00 0.000000000000000000e+00 4.883903987638303357e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.919715420493303459e-01
