step,N,a,z,Phi,dot_Phi,rho_b,rho_c,rho_r,V,H_dimensionless
0.0,-3.0,0.049787068367863944,19.085536923187668,0.0,0.0,1215.4625891363078,6077.312945681539,43.943793683131055,0.69991,49.455094912795985
1.0,-2.995,0.05003662708658628,18.985359889857126,0.0,0.0,1197.366708706701,5986.833543533505,43.07364826943878,0.69991,49.084871432073804
2.0,-2.99,0.050287436723591865,18.88568249156473,0.0,0.0,1179.5402408377518,5897.701204188758,42.22073288933052,0.69991,48.71742360427749
3.0,-2.9850000000000003,0.050539503549134675,18.78650223637034,0.0,0.0,1161.979174498987,5809.895872494934,41.38470636528281,0.69991,48.35273057907969
4.0,-2.9800000000000004,0.05079283386489848,18.687816644762407,0.0,0.0,1144.6795583763976,5723.397791881986,40.565234275539765,0.69991,47.99077166335879
5.0,-2.9750000000000005,0.05104743400415437,18.589623249596002,0.0,0.0,1127.6374999833758,5638.187499916878,39.76198882033994,0.69991,47.631526320007126
6.0,-2.9700000000000006,0.05130331033191909,18.49191959603113,0.0,0.0,1110.84916478489,5554.245823924448,38.97464869079204,0.69991,47.2749741667482
7.0,-2.9650000000000007,0.051560469245114156,18.394703241471362,0.0,0.0,1094.3107753346972,5471.553876673484,38.20289894034709,0.69991,46.921094974963125
8.0,-2.960000000000001,0.05181891717272579,18.297971755502775,0.0,0.0,1078.0186104254026,5390.093052127011,37.446430858815624,0.69991,46.56986866852583
9.0,-2.955000000000001,0.05207866057596565,18.201722719833178,0.0,0.0,1061.9690042511716,5309.8450212558555,36.70494184887947,0.69991,46.22127532264735
10.0,-2.950000000000001,0.05233970594843234,18.10595372823167,0.0,0.0,1046.1583455829082,5230.791727914539,35.9781353050488,0.69991,45.87529516272891
11.0,-2.945000000000001,0.052602059816273763,18.010662386468468,0.0,0.0,1030.5830769557135,5152.915384778566,35.265720495016,0.69991,45.531908563223716
12.0,-2.9400000000000013,0.0528657287383503,17.915846312255063,0.0,0.0,1015.2396938684408,5076.198469342202,34.567412443358826,0.69991,45.19109604650752
13.0,-2.9350000000000014,0.05313071930639871,17.82150313518467,0.0,0.0,1000.1247439951678,5000.623719975837,33.88293181754648,0.69991,44.85283828175779
14.0,-2.9300000000000015,0.05339703814519701,17.727630496672944,0.0,0.0,985.2348264084094,4926.174132042045,33.21200481620285,0.69991,44.5171160838415
15.0,-2.9250000000000016,0.05366469191273004,17.63422604989903,0.0,0.0,970.5665908138941,4852.8329540694685,32.55436305958231,0.69991,44.18391041221131
16.0,-2.9200000000000017,0.05393368730035592,17.5412874597469,0.0,0.0,956.1167367967338,4780.5836839836675,31.909743482214253,0.69991,43.85320236981033
17.0,-2.915000000000002,0.05420403103297337,17.448812402746956,0.0,0.0,941.8820130788167,4709.410065394082,31.27788822767339,0.69991,43.524973201985134
18.0,-2.910000000000002,0.05447572986918976,17.356798567017957,0.0,0.0,927.8592167872558,4639.296083936278,30.65854454543374,0.69991,43.19920429540714
19.0,-2.905000000000002,0.05474879060149017,17.265243652209218,0.0,0.0,914.0451927337292,4570.225963668644,30.051464689765055,0.69991,42.87587717700222
20.0,-2.900000000000002,0.05502322005640711,17.1741453694431,0.0,0.0,900.436832704549,4502.184163522743,29.45640582063122,0.69991,42.554973512888495
21.0,-2.8950000000000022,0.05529902509469126,17.083501441257788,0.0,0.0,887.0310747613006,4435.1553738065,28.873129906550997,0.69991,42.236475107322235
22.0,-2.8900000000000023,0.05557621261148294,16.993309601550358,0.0,0.0,873.8249025518934,4369.124512759464,28.30140362938228,0.69991,41.920363901651825
23.0,-2.8850000000000025,0.0558547895364845,16.90356759552012,0.0,0.0,860.8153446318688,4304.076723159341,27.740998290991694,0.69991,41.606621973279694
24.0,-2.8800000000000026,0.05613476283413358,16.814273179612243,0.0,0.0,847.9994737958128,4239.997368979061,27.191689721772327,0.69991,41.29523153463221
25.0,-2.8750000000000027,0.0564161395037772,16.72542412146169,0.0,0.0,835.3744064187225,4176.87203209361,26.65325819097287,0.69991,40.9861749321374
26.0,-2.8700000000000028,0.05669892657984676,16.637018199837367,0.0,0.0,822.9373018071781,4114.686509035888,26.125488318802407,0.69991,40.67943464521055
27.0,-2.865000000000003,0.05698313113203388,16.54905320458664,0.0,0.0,810.6853615601748,4053.4268078008718,25.608168990275615,0.69991,40.37499328524742
28.0,-2.860000000000003,0.05726876026546718,16.461526936580043,0.0,0.0,798.6158289394713,3993.079144697354,25.101093270763965,0.69991,40.0728335946253
29.0,-2.855000000000003,0.05755582112088987,16.374437207656314,0.0,0.0,786.7259882493114,3933.6299412465546,24.6040583232191,0.69991,39.772938445711574
30.0,-2.850000000000003,0.057844320874838276,16.287781840567696,0.0,0.0,775.0131642253815,3875.065821126905,24.11686532703532,0.69991,39.47529083987992
31.0,-2.8450000000000033,0.058134266739821285,16.201558668925497,0.0,0.0,763.4747214328646,3817.373607164321,23.639319398518687,0.69991,39.17987390653397
32.0,-2.8400000000000034,0.05842566596450062,16.115765537145936,0.0,0.0,752.1080636734565,3760.5403183672806,23.17122951293095,0.69991,38.88667090213847
33.0,-2.8350000000000035,0.05871852583387207,16.030400300396252,0.0,0.0,740.91063340121,3704.553167006048,22.712408428077097,0.69991,38.59566520925779
34.0,-2.8300000000000036,0.05901285366944763,15.945460824541076,0.0,0.0,729.8799111470765,3649.399555735381,22.26267260940599,0.69991,38.306840335601784
35.0,-2.8250000000000037,0.05930865682943851,15.860944986089095,0.0,0.0,719.0134149520148,3595.0670747600725,21.821842156594087,0.69991,38.02017991307898
36.0,-2.820000000000004,0.059605942708939125,15.77685067213994,0.0,0.0,708.3086998085397,3541.543499042697,21.38974073158293,0.69991,37.735667696856865
37.0,-2.815000000000004,0.05990471874011194,15.69317578033138,0.0,0.0,697.763357110585,3488.816785552924,20.96619548804155,0.69991,37.45328756442951
